TXNID,STARTTIME,ENDTIME,,,,STARTTIME,ENDTIME,SERVICE_NAME,,,,,
EPIPL01,23-07-20 04:57:27:661,23-07-20 04:57:27:955,,,,23-07-20 04:57:31:318,23-07-20 04:57:31:591,PartyApplicationServiceSpi,JFhLFKwVDkYBLAD6z4YAAAAF,,,,
,,,,,,23-07-20 04:57:31:141,23-07-20 04:57:31:256,ValidatePINApplicationServiceSpiService,JFhLFKwVDkYBLAD6z4YAAAAF,,,,
,,,,,,23-07-20 04:57:30:983,23-07-20 04:57:31:112,GetUserReportApplicationServiceSpi,JFhLFKwVDkYBLAD6z4YAAAAF,,,,
,,,,,,23-07-20 04:57:30:523,23-07-20 04:57:30:572,SiteToUser,JEksBKwVDkYBLAD6z4IAAAAE,,,,
,,,,,,23-07-20 04:57:30:056,23-07-20 04:57:30:503,AdaptiveAuthenticationService,JEksBKwVDkYBLAD6z4IAAAAE,,,,
,,,,,,23-07-20 04:57:27:770,23-07-20 04:57:27:937,MerchantDetailsApplicationServiceSpiService,JCf9GawVDkYBLAD6z3sAAAAE,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
NSDL ,nonrsa,,,,,,,,,,,,
,,,,,,,,,,,,,
LGF,13-07-20 04:52:38:414,13-07-20 04:52:38:566,,,,13-07-20 04:52:37:849,13-07-20 04:52:38:224,FundTransferTransactionApplicationServiceSpi,6HZAXKwVDkYBawDUn3cAAAAp,,,,
NSDLFT,13-07-20 04:52:37:742,13-07-20 04:52:38:272,,,,13-07-20 04:52:30:837,13-07-20 04:52:31:103,FetchCustomerAndMerchantDetailsApplicationServiceSpiService,6AsSiqwVDkYBawDUn2sAAAAc,,,,
FCMCBDT01,13-07-20 04:52:30:709,13-07-20 04:52:31:120,,,,13-07-20 04:52:25:685,13-07-20 04:52:25:946,PartyApplicationServiceSpi,57OxP6wVDkYBawDUnzMAAAAc,,,,
LGNXT,13-07-20 04:52:24:979,13-07-20 04:52:26:032,,,,13-07-20 04:52:25:353,13-07-20 04:52:25:561,ValidatePINApplicationServiceSpiService,57OxP6wVDkYBawDUnzMAAAAc,,,,
VLC01,13-07-20 04:52:24:215,13-07-20 04:52:24:886,,,,13-07-20 04:52:25:121,13-07-20 04:52:25:334,GetUserReportApplicationServiceSpi,57OxP6wVDkYBawDUnzMAAAAc,,,,
PLCBDT,13-07-20 04:52:18:624,13-07-20 04:52:19:552,,,,13-07-20 04:52:24:840,13-07-20 04:52:24:865,SiteToUser,56gOcqwVDkYBawDUnzEAAAAn,,,,
